q CP mean: 0.8586627334356308, q CP std: 0.009462253787011727
avg_len CP mean: 0.22497256174683572, avg_len CP std: 0.0025020856645871672
avg_cov CP mean: 0.9033265620470047, avg_cov CP std: 0.008928748442854175
q GC mean: 1.139194222150892, q GC std: 0.004725521141975314
avg_len GC mean: 0.2984726920723915, avg_len GC std: 0.001298113108930288
avg_cov GC mean: 0.9861604869365692, avg_cov GC std: 0.002003726545538377
q new addtive mean: 0.04832089561969042, q new addtive std: 0.0006913066452511041
avg_len new addtive mean: 0.19224584177136422, avg_len new addtive std: 0.0020384956186014483
avg_cov new addtive mean: 0.901498219370842, avg_cov new addtive std: 0.008636934335497164
q new div mean: 2.861241364479065, q new div std: 0.07461647971236728
avg_len new div mean: 0.27357867956161497, avg_len new div std: 0.008746151978438785
avg_cov new div mean: 0.9011681109666825, avg_cov new div std: 0.009428842622267893
lumbar, efficientnetb4, 0.1, 5
